,宽带,WiFi,重点号卡,5G1,5G2,5G
鹏德上海永泰路营业厅,1,0,1,3,1,4
汉启上海长清路天翼专营店,3,2,0,4,12,16
汉启上海东三里桥路天翼专营店,2,1,7,3,4,7
易贝上海杨思路营业厅,7,7,3,7,0,7
易贝上海和炯路天翼专营店,0,0,0,0,0,0
易贝上海北艾路天翼专营店,0,1,2,5,6,11
易贝上海凌兆路天翼专营店,0,0,1,1,1,2
宁皙上海峨山路天翼专营店,2,0,1,4,156,160
共联上海永泰路营业厅,1,2,9,2,13,15
中国电信上海昌里东路营业厅,9,14,50,27,19,46
sum,25,27,74,56,212,268
DLS_HQTX_SPR,0,0,0,3,1,4
dls_hwdx_ywr,0,0,0,0,0,0
worker_sum,0,0,0,3,1,4
