,宽带,WiFi,重点号卡,5G1,5G2,5G
鹏德上海永泰路营业厅,0,0,0,2,1,3
汉启上海长清路天翼专营店,2,1,0,1,0,1
汉启上海东三里桥路天翼专营店,0,0,3,2,2,4
易贝上海杨思路营业厅,1,0,0,2,0,2
易贝上海和炯路天翼专营店,0,0,0,0,0,0
易贝上海北艾路天翼专营店,0,1,1,2,1,3
易贝上海凌兆路天翼专营店,0,0,1,0,1,1
宁皙上海峨山路天翼专营店,0,0,0,1,33,34
共联上海永泰路营业厅,0,0,1,0,3,3
中国电信上海昌里东路营业厅,1,3,6,5,2,7
sum,4,5,12,15,43,58
DLS_HQTX_SPR,0,0,0,1,0,1
dls_hwdx_ywr,0,0,0,0,0,0
worker_sum,0,0,0,1,0,1
